facilityid,id_overall,sd,smp,hs,s1,group,type,teach_num,sup_pnpm,sup_gov,sup_uni,sup_private,sup_ngo,sup_himpaudi,sup_socind,freq_wk,duration,tot_student,ratio,room_age_separate,parents_inv,refresher_training,visit_gov,room_avail,book,book_no,clean_water,toilet,bin,sink,weight_scale,heigth,head_measure,firstaid,facilities,population,household,poor_hh,poor_pct,poor_level,bpd,bpd_meet,cp_koperasi,cp_gotong_royong,cp_karangta3a,cp_health,cp_women,cp_labor,mean_cp,safe_play,safe_clean,safe_availplayground,safe_noharm,safe_noconflict,safe_ownership,mean_safe,pp_raskin,pp_blt,pp_pkh,pp_jamkesmas,pp_kur,pp_wash,pp_pnpminf,pp_pnpmeco,pp_pnpmsoc,pp_pnpmgen,mean_pp,market,capital_district,capital_regency,capital_prov,bank,terminal,health_service,hospital,primary_sc,junior_sc,high_school,university
1001,1.55,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,3,120,23,23,0,Yes,Yes,4,1,1,25,0,0,1,0,1,0,0,1,17,970,287,90,31.35888502,Moderate-High,Yes,0,4,4,3,1,4,4,3.333333333,3,2,1,3,3,3,2.5,1,2,1,4,1,2,2,4,1,1,1.9,0.5,0.699999988,100,320,100,100,0.300000012,100,1,0.699999988,2,100
1101,1.675,0,0,0.33,0.67,control,TK,3,No,Yes,No,No,No,No,Yes,6,180,40,13,0,Yes,Yes,2,1,1,60,0,0,1,2,0,0,0,2,23,970,287,90,31.35888502,Moderate-High,Yes,0,4,4,3,1,4,4,3.333333333,3,2,1,3,3,3,2.5,1,2,1,4,1,2,2,4,1,1,1.9,0.5,0.699999988,100,320,100,100,0.300000012,100,1,0.699999988,2,100
2002,1.665,0,0,1,0,treatment,KB,2,No,Yes,No,No,No,No,No,3,120,29,15,1,No,Yes,0,2,1,11,0,0,0,0,1,1,0,1,16,1115,397,112,28.2115869,Moderate-High,Yes,0,1,4,4,1,4,4,3,3,2,3,3,3,3,2.833333333,1,2,1,4,1,2,2,4,1,1,1.9,6,6,98,288,98,98,6,98,0.5,1.5,1.5,98
2101,1.25,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,120,23,12,0,Yes,No,0,1,1,23,0,0,1,0,0,0,0,0,8,1115,397,112,28.2115869,Moderate-High,Yes,0,1,4,4,1,4,4,3,3,2,3,3,3,3,2.833333333,1,2,1,4,1,2,2,4,1,1,1.9,6,6,98,288,98,98,6,98,0.5,1.5,1.5,98
3001,2.545,0,0,1,0,treatment,KB,2,,,,,,,,3,120,33,17,0,Yes,No,1,1,1,20,1,1,1,1,1,1,0,0,21,1134,384,254,66.14583333,High,Yes,1,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,1,1,4,1,2,2,1,1,1,1.5,1,9,113,309,113,113,9,113,0.5,1,1,113
3101,1.435,0,0,0.67,0.33,control,TK,3,No,Yes,No,No,No,No,No,6,150,15,5,0,No,Yes,0,1,3,,0,2,1,0,0,0,0,0,14,1134,384,254,66.14583333,High,Yes,1,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,1,1,4,1,2,2,1,1,1,1.5,1,9,113,309,113,113,9,113,0.5,1,1,113
4002,1.62,0,0,0.5,0.5,treatment,KB,2,No,Yes,No,No,No,No,No,0.3,120,43,22,0,Yes,No,0,1,1,20,0,0,1,0,1,1,0,1,11,1209,279,100,35.84229391,Moderate-High,Yes,6,4,4,4,1,4,4,3.5,3,3,3,4,3,3,3.166666667,1,1,1,4,1,2,4,3,1,1,1.9,15,15,95,360,95,15,0.029999999,95,1,3.5,3.5,95
4101,1.08,0,0,0.75,0.25,control,TK,4,No,Yes,Yes,No,No,No,No,6,120,43,11,0,Yes,Yes,0,1,1,5,0,0,1,0,2,2,0,0,12,1209,279,100,35.84229391,Moderate-High,Yes,6,4,4,4,1,4,4,3.5,3,3,3,4,3,3,3.166666667,1,1,1,4,1,2,4,3,1,1,1.9,15,15,95,360,95,15,0.029999999,95,1,3.5,3.5,95
5001,1.8,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,2,120,30,30,0,No,No,5,1,1,35,0,0,0,0,0,1,0,0,14,1218,299,119,39.7993311,Moderate-High,Yes,1,1,4,3,1,4,4,2.833333333,2,2,3,3,3,3,2.666666667,1,2,1,4,1,2,2,1,1,1,1.6,80,50,80,275,80,80,2,70,1,3,2,80
5002,1.47,0,0,1,0,treatment,KB,2,,,,,,,,2,120,37,19,0,Yes,No,1,1,1,10,0,0,1,0,0,1,0,0,9,1218,299,119,39.7993311,Moderate-High,Yes,1,1,4,3,1,4,4,2.833333333,2,2,3,3,3,3,2.666666667,1,2,1,4,1,2,2,1,1,1,1.6,80,50,80,275,80,80,2,70,1,3,2,80
6001,1.305,0,0,1,0,treatment,KB,1,,,,,,,,4,120,35,35,0,No,No,0,2,0,,0,1,1,0,1,1,0,0,18,1257,225,150,66.66666667,High,Yes,1,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,1,4,1,2,2,4,1,1,1.9,25,35,70,260,40,70,0.5,10,0.5,0.5,10,70
6002,2.195,0,0.33,0.33,0.33,treatment,KB,3,,,,,,,,4,120,20,7,1,Yes,Yes,0,1,1,18,0,0,0,0,1,1,1,0,19,1257,225,150,66.66666667,High,Yes,1,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,1,4,1,2,2,4,1,1,1.9,25,35,70,260,40,70,0.5,10,0.5,0.5,10,70
7101,1.245,0,0,0.5,0.5,control,TK,4,Yes,No,No,No,No,No,No,6,210,80,20,0,Yes,No,0,7,1,100,1,1,1,2,0,0,0,0,15,945,258,99,38.37209302,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,4,2,2,2,1,1,2,15,25,65,247,65,65,7,40,1,8,21,60
8101,1.39,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,No,6,120,11,6,0,Yes,No,0,1,1,15,0,2,1,2,0,0,0,0,15,1678,433,195,45.03464203,High,Yes,1,2,4,4,1,4,1,2.666666667,3,2,3,3,3,3,2.833333333,1,2,1,4,1,1,2,1,1,1,1.5,8,17,46,240,46,46,0.100000001,17,0.5,8,17,46
8201,1.205,0,0,1,0,control,KB,2,No,Yes,No,No,No,No,No,4,120,19,10,0,Yes,No,0,1,1,15,0,2,2,0,0,0,0,0,6,1678,433,195,45.03464203,High,Yes,1,2,4,4,1,4,1,2.666666667,3,2,3,3,3,3,2.833333333,1,2,1,4,1,1,2,1,1,1,1.5,8,17,46,240,46,46,0.100000001,17,0.5,8,17,46
10001,1.69,0,0,1,0,treatment,KB,3,,,,,,,,4,120,22,7,1,Yes,Yes,0,1,1,50,1,0,1,1,0,0,0,1,22,2305,628,214,34.07643312,Moderate-High,Yes,1,4,3,4,4,4,4,3.833333333,3,3,3,3,3,3,3,1,2,1,4,4,2,2,4,1,1,2.2,1,1,35,190,35,35,1,25,0.5,0.5,1,35
10101,3.345,0,0,0.6,0.4,control,TK,5,No,Yes,No,No,No,No,No,6,110,59,12,1,Yes,Yes,1,3,1,50,2,2,1,0,0,0,0,1,22,2305,628,214,34.07643312,Moderate-High,Yes,1,4,3,4,4,4,4,3.833333333,3,3,3,3,3,3,3,1,2,1,4,4,2,2,4,1,1,2.2,1,1,35,190,35,35,1,25,0.5,0.5,1,35
11002,1.64,0,0,0,1,treatment,KB,1,No,Yes,No,No,No,No,No,4,120,20,20,0,Yes,Yes,1,1,1,50,0,0,0,0,0,1,0,0,15,1179,357,183,51.2605042,High,Yes,1,4,3,4,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,1,4,1,2,2,4,1,1,1.9,5,5,30,240,30,30,5,25,0.5,1.5,1,30
11101,1.525,0,0,0.2,0.8,control,RA,5,No,Yes,No,No,No,No,No,6,180,24,5,0,Yes,Yes,4,1,1,20,0,0,1,0,0,0,0,2,19,1179,357,183,51.2605042,High,Yes,1,4,3,4,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,1,4,1,2,2,4,1,1,1.9,5,5,30,240,30,30,5,25,0.5,1.5,1,30
30001,1.64,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,4,120,31,31,0,Yes,Yes,0,1,1,30,1,1,0,0,1,0,0,0,14,1352,304,195,64.14473684,High,Yes,3,4,4,4,1,4,4,3.5,3,2,3,3,3,3,2.833333333,1,2,1,4,1,1,1,1,1,1,1.4,7,7,64,197,64,64,3,55,0.300000012,0.5,2,64
30101,1.38,0,0,0.67,0.33,control,TK,3,No,Yes,No,No,No,No,No,6,120,17,6,0,Yes,Yes,1,1,1,30,0,2,1,0,1,0,0,0,13,1352,304,195,64.14473684,High,Yes,3,4,4,4,1,4,4,3.5,3,2,3,3,3,3,2.833333333,1,2,1,4,1,1,1,1,1,1,1.4,7,7,64,197,64,64,3,55,0.300000012,0.5,2,64
9101,1.715,0,0,0.5,0.5,control,TK,4,No,Yes,No,No,No,No,No,6,120,43,11,0,No,Yes,0,1,1,400,2,2,0,0,0,0,0,2,15,1334,282,161,57.09219858,High,Yes,3,1,3,4,1,4,4,2.833333333,3,2,3,3,2,3,2.666666667,1,2,1,4,1,2,2,1,1,1,1.6,12,12,36,235,36,36,0.100000001,25,0.5,3,6,36
9201,1.29,0,0.5,0.5,0,control,KB,2,No,No,No,No,No,No,No,3,150,20,10,0,Yes,No,2,1,1,27,0,0,1,0,0,0,0,0,6,1334,282,161,57.09219858,High,Yes,3,1,3,4,1,4,4,2.833333333,3,2,3,3,2,3,2.666666667,1,2,1,4,1,2,2,1,1,1,1.6,12,12,36,235,36,36,0.100000001,25,0.5,3,6,36
12103,1.78,0,0,0.75,0.25,control,TK,4,No,Yes,No,No,No,No,No,6,150,15,4,0,Yes,Yes,2,1,1,274,0,2,2,1,1,1,1,1,24,3178,786,295,37.53180662,Moderate-High,Yes,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,2,1,4,1,1,4,4,2,1,2.1,14,13,23,198,14,14,0.5,15,0.5,3,0.5,20
12202,2.435,0,0,0,1,control,KB,4,No,No,No,No,No,No,No,6,120,20,5,0,Yes,Yes,0,1,1,280,1,1,1,0,2,1,0,1,21,3178,786,295,37.53180662,Moderate-High,Yes,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,2,1,4,1,1,4,4,2,1,2.1,14,13,23,198,14,14,0.5,15,0.5,3,0.5,20
13002,2.475,0,0,0.5,0.5,treatment,KB,2,Yes,Yes,No,No,No,No,No,6,150,9,5,0,Yes,Yes,1,1,1,60,1,1,1,1,1,1,1,1,24,2179,446,151,33.85650224,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,4,4,2,4,1,1,2.4,8,5,27,261,8,8,0.100000001,5,0.5,3,5,20
13102,2.935,0,0,0.67,0.33,control,RA,3,No,Yes,No,No,No,No,Yes,6,150,21,7,0,Yes,Yes,0,1,1,105,1,2,1,1,0,1,0,1,27,2179,446,151,33.85650224,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,4,4,2,4,1,1,2.4,8,5,27,261,8,8,0.100000001,5,0.5,3,5,20
14002,1.33,0,0,1,0,treatment,KB,3,,,,,,,,4,120,39,13,1,Yes,Yes,1,1,1,100,0,1,1,1,1,1,1,1,22,2782,585,104,17.77777778,Moderate-Low,Yes,4,4,4,4,4,4,2,3.666666667,2,3,1,3,3,2,2.333333333,1,2,1,4,1,1,2,4,4,1,2.1,1,0.5,12,180,12,12,0.300000012,1,0.5,0.5,0.300000012,0.5
14101,2.37,0,0,0.33,0.67,control,TK,6,No,Yes,No,Yes,No,No,Yes,6,180,29,5,0,Yes,Yes,2,1,1,20,0,2,1,2,0,1,0,1,20,2782,585,104,17.77777778,Moderate-Low,Yes,4,4,4,4,4,4,2,3.666666667,2,3,1,3,3,2,2.333333333,1,2,1,4,1,1,2,4,4,1,2.1,1,0.5,12,180,12,12,0.300000012,1,0.5,0.5,0.300000012,0.5
15103,1.07,0,0,1,0,control,RA,1,No,Yes,No,No,No,No,Yes,6,150,24,24,0,No,No,1,1,3,,1,0,2,0,0,0,0,0,8,3427,967,195,20.16546019,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,2,3,3,3,3,3,2.833333333,1,2,1,4,4,2,2,2,2,1,2.1,11,11,25,253,11,11,0.300000012,13,0.5,0.200000003,3,25
15202,1.455,0,0,0.67,0.33,control,KB,3,Yes,Yes,No,No,No,No,No,6,150,10,3,0,Yes,Yes,12,1,1,120,2,2,2,0,0,0,0,2,21,3427,967,195,20.16546019,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,2,3,3,3,3,3,2.833333333,1,2,1,4,4,2,2,2,2,1,2.1,11,11,25,253,11,11,0.300000012,13,0.5,0.200000003,3,25
16002,2.78,0,0,0,1,treatment,KB,1,No,No,No,No,No,No,Yes,4,150,35,35,1,Yes,Yes,4,1,1,50,1,1,1,1,1,1,1,1,25,3171,867,306,35.29411765,Moderate-High,Yes,3,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,2,1,4,2,1,2,4,1,1,1.9,7,3,7,187,7,7,3,2,0.5,1,3,2
16201,2.23,0,0,0,1,control,KB,3,No,No,No,No,No,No,Yes,3,150,15,5,0,Yes,Yes,2,1,3,,1,1,1,1,0,0,0,2,18,3171,867,306,35.29411765,Moderate-High,Yes,3,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,2,1,4,2,1,2,4,1,1,1.9,7,3,7,187,7,7,3,2,0.5,1,3,2
17001,1.535,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,Yes,6,180,26,26,0,Yes,No,7,1,1,34,0,0,1,1,1,0,0,1,20,1267,278,68,24.46043165,Moderate-High,Yes,2,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,1,4,2,2,4,4,1,1,2.2,4,8,4,190,4,4,4,4,0.5,4,4,0.5
17101,3.075,0,0,0,1,control,TK,3,No,Yes,No,No,No,No,Yes,6,180,12,4,0,No,Yes,2,1,1,20,1,1,1,2,0,0,0,0,17,1267,278,68,24.46043165,Moderate-High,Yes,2,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,1,4,2,2,4,4,1,1,2.2,4,8,4,190,4,4,4,4,0.5,4,4,0.5
20104,1.88,0,0,0.67,0.33,control,TK,3,No,Yes,No,No,No,No,Yes,6,150,30,10,1,No,Yes,2,1,1,32,0,0,1,0,1,1,0,1,13,1463,443,128,28.89390519,Moderate-High,Yes,1,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,1,4,4,2,2,4,1,1,2.2,12,12,35,210,12,12,0.100000001,27,0.100000001,1,12,35
20206,3.435,0,0,1,0,control,KB,3,No,Yes,No,No,No,No,No,5,150,13,4,0,Yes,Yes,3,1,1,100,0,0,2,1,0,0,0,2,19,1463,443,128,28.89390519,Moderate-High,Yes,1,4,4,3,1,4,4,3.333333333,3,3,3,3,3,3,3,1,2,1,4,4,2,2,4,1,1,2.2,12,12,35,210,12,12,0.100000001,27,0.100000001,1,12,35
18001,2.4,0,0,1,0,treatment,KB,2,No,Yes,No,No,No,No,No,4,120,26,13,0,No,Yes,1,1,1,130,1,1,1,0,1,1,1,1,24,3065,673,274,40.71322437,High,Yes,2,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,4,2,2,4,1,1,2.2,2,2,27,208,2,2,2,18,0.5,1.5,3.5,25
18002,2.655,0,0,1,0,treatment,KB,3,No,No,No,No,No,No,No,4,110,25,8,0,Yes,Yes,3,2,1,35,1,1,1,1,1,1,1,1,29,3065,673,274,40.71322437,High,Yes,2,4,4,4,1,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,4,2,2,4,1,1,2.2,2,2,27,208,2,2,2,18,0.5,1.5,3.5,25
19101,2.42,0,0,0.71,0.29,control,TK,7,No,Yes,No,No,No,No,No,6,150,32,5,0,Yes,Yes,0,1,1,150,2,1,1,2,1,1,0,1,30,1583,432,206,47.68518519,High,Yes,1,2,4,4,1,4,4,3.166666667,3,3,1,3,3,3,2.666666667,1,2,1,4,4,1,2,4,1,1,2.1,9,9,9,191,9,9,1,9,0.200000003,1,1,9
19201,2.955,0,0,1,0,control,KB,3,No,Yes,No,No,No,No,Yes,3,150,20,7,0,No,Yes,12,1,1,45,0,0,1,0,1,1,0,1,18,1583,432,206,47.68518519,High,Yes,1,2,4,4,1,4,4,3.166666667,3,3,1,3,3,3,2.666666667,1,2,1,4,4,1,2,4,1,1,2.1,9,9,9,191,9,9,1,9,0.200000003,1,1,9
21101,2.315,0,0,0,1,control,TK,2,No,Yes,No,No,No,No,No,6,180,30,15,1,Yes,Yes,3,2,1,20,1,0,1,1,0,0,0,1,19,1465,408,136,33.33333333,Moderate-High,Yes,4,1,4,4,1,4,4,3,3,3,1,3,3,3,2.666666667,1,2,1,4,1,2,2,1,1,1,1.6,7,7,16,198,16,16,2,27,0.200000003,1.5,2,2
21201,1.61,0,0,0,1,control,KB,2,No,Yes,No,No,No,No,Yes,6,180,25,13,1,Yes,Yes,2,1,1,50,1,0,1,1,0,0,0,1,20,1465,408,136,33.33333333,Moderate-High,Yes,4,1,4,4,1,4,4,3,3,3,1,3,3,3,2.666666667,1,2,1,4,1,2,2,1,1,1,1.6,7,7,16,198,16,16,2,27,0.200000003,1.5,2,2
22001,2.225,0,0,0.25,0.75,treatment,KB,4,No,No,No,No,No,No,Yes,4,150,28,7,1,Yes,Yes,16,4,1,42,1,1,1,1,1,1,1,1,26,1092,287,147,51.2195122,High,Yes,2,2,4,4,1,4,4,3.166666667,3,3,1,3,3,3,2.666666667,1,2,1,4,4,2,2,1,1,1,1.9,13,13,13,195,13,10,3,13,0.300000012,3,3,3
22501,2.305,0,0,0,1,control,RA,4,No,Yes,No,No,No,No,No,6,150,15,4,0,Yes,Yes,12,1,1,25,0,2,1,0,0,0,0,0,12,1092,287,147,51.2195122,High,Yes,2,2,4,4,1,4,4,3.166666667,3,3,1,3,3,3,2.666666667,1,2,1,4,4,2,2,1,1,1,1.9,13,13,13,195,13,10,3,13,0.300000012,3,3,3
24001,2.155,0,0,1,0,treatment,KB,2,No,Yes,No,No,No,No,No,4,90,27,14,1,No,Yes,3,1,1,50,1,1,1,1,1,1,1,1,22,765,204,82,40.19607843,High,Yes,5,2,4,4,1,4,4,3.166666667,3,3,1,3,3,3,2.666666667,1,2,1,4,1,1,4,2,1,1,1.8,12,12,12,172,12,12,12,12,0.100000001,3,1,12
24101,1.51,0,0,0.5,0.5,control,TK,2,No,Yes,No,No,No,No,Yes,6,120,12,6,0,Yes,Yes,0,1,1,50,0,2,1,0,0,0,0,1,11,765,204,82,40.19607843,High,Yes,5,2,4,4,1,4,4,3.166666667,3,3,1,3,3,3,2.666666667,1,2,1,4,1,1,4,2,1,1,1.8,12,12,12,172,12,12,12,12,0.100000001,3,1,12
25201,1.4,0,0,0.8,0.2,control,KB,5,Yes,Yes,No,No,No,No,No,6,150,21,4,0,Yes,No,0,1,1,378,2,1,1,1,1,1,1,1,24,1395,356,172,48.31460674,High,Yes,2,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,1,4,1,2,2,4,1,1,1.9,3,3,22,180,22,22,3,3,0.100000001,3,3,22
26201,1.33,0,0,1,0,control,KB,3,No,Yes,No,No,No,No,No,4,120,38,13,1,Yes,Yes,2,2,1,8,0,0,1,0,0,0,0,0,7,1407,380,84,22.10526316,Moderate-High,Yes,2,4,3,4,1,3,4,3.166666667,2,3,1,3,3,2,2.333333333,1,2,1,2,2,1,4,4,1,1,1.9,2,3,50,180,50,50,3,50,1,1.5,3,50
26202,1.975,0,0,1,0,control,KB,2,Yes,Yes,Yes,No,No,No,Yes,4,120,10,5,0,Yes,Yes,2,1,1,20,1,1,1,2,0,0,0,2,18,1407,380,84,22.10526316,Moderate-High,Yes,2,4,3,4,1,3,4,3.166666667,2,3,1,3,3,2,2.333333333,1,2,1,2,2,1,4,4,1,1,1.9,2,3,50,180,50,50,3,50,1,1.5,3,50
27002,1.24,0,0,1,0,treatment,KB,1,,,,,,,,4,120,24,24,1,Yes,Yes,2,1,1,10,1,1,1,0,1,1,1,1,21,2286,595,162,27.22689076,Moderate-High,Yes,2,4,4,4,1,4,4,3.5,4,4,1,4,4,3,3.333333333,1,2,1,4,4,2,2,4,1,1,2.2,9,18,36,170,18,9,3,36,0.5,5,9,36
27102,1.08,0,0,1,0,control,TK,2,No,Yes,No,No,No,No,No,6,90,15,8,0,No,Yes,0,1,1,5,0,0,1,0,0,0,0,0,5,2286,595,162,27.22689076,Moderate-High,Yes,2,4,4,4,1,4,4,3.5,4,4,1,4,4,3,3.333333333,1,2,1,4,4,2,2,4,1,1,2.2,9,18,36,170,18,9,3,36,0.5,5,9,36
28001,2.05,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,No,4,150,27,27,0,No,Yes,1,1,1,20,1,1,1,1,1,0,0,1,20,1355,350,88,25.14285714,Moderate-High,Yes,1,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,1,4,1,1,4,4,1,1,2,13,13,38,144,13,13,1,40,0.5,1,13,40
28101,2.335,0,0,0,1,control,TK,1,No,Yes,No,No,No,No,No,6,180,12,12,0,Yes,Yes,5,1,1,60,1,1,1,0,0,0,0,1,14,1355,350,88,25.14285714,Moderate-High,Yes,1,4,4,3,4,4,4,3.833333333,3,3,1,3,3,3,2.666666667,1,2,1,4,1,1,4,4,1,1,2,13,13,38,144,13,13,1,40,0.5,1,13,40
29001,2.585,0,0,1,0,treatment,KB,1,Yes,No,No,No,No,No,No,3,120,27,27,0,Yes,Yes,2,2,1,60,1,1,1,0,1,0,0,1,25,2408,930,310,33.33333333,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,1,4,4,2,2,4,1,1,2.2,2,2,58,138,2,2,2,58,1,2,2,58
29201,1.16,0,0,1,0,control,KB,3,No,Yes,No,No,No,No,No,3,120,15,5,0,No,Yes,1,1,1,80,1,1,1,0,0,0,0,1,13,2408,930,310,33.33333333,Moderate-High,Yes,1,4,4,4,1,4,4,3.5,3,3,3,3,3,3,3,1,2,1,4,4,2,2,4,1,1,2.2,2,2,58,138,2,2,2,58,1,2,2,58
31001,3.12,0,0,0,1,treatment,KB,1,Yes,Yes,No,No,No,No,Yes,3,120,20,20,1,Yes,Yes,0,1,0,,0,1,1,0,1,1,0,1,22,316,92,35,38.04347826,Moderate-High,Yes,3,4,4,4,1,4,4,3.5,4,4,3,4,3,4,3.666666667,1,2,1,4,4,1,4,4,1,1,2.3,150.5,1,230.5,150.5,150.5,0.5,1,2,1,1,6,150.5
32201,2.71,0,0,1,0,control,KB,4,Yes,Yes,No,No,No,No,No,4,165,30,8,1,Yes,No,2,1,3,,1,1,1,1,1,0,0,1,16,680,187,87,46.52406417,High,Yes,1,4,4,4,4,4,4,4,3,3,3,3,3,3,3,1,2,1,4,1,1,2,4,1,1,1.8,160,10,240,160,160,10,0.300000012,8,0.300000012,10,3,160
42001,1.73,0,0,1,0,treatment,KB,1,Yes,No,No,No,No,No,Yes,4,150,13,13,0,Yes,Yes,6,1,1,30,0,1,1,0,1,1,1,1,24,1135,430,270,62.79069767,High,Yes,0,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,2,4,4,1,1,4,1,1,1,2,2,2,19,49,19,19,0.800000012,19,0.02,2,4,19
42002,1.735,0,0,1,0,treatment,KB,1,No,Yes,No,No,No,No,Yes,4,120,15,15,1,Yes,Yes,9,1,1,15,0,0,0,0,1,1,0,0,13,1135,430,270,62.79069767,High,Yes,0,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,2,4,4,1,1,4,1,1,1,2,2,2,19,49,19,19,0.800000012,19,0.02,2,4,19
44001,2.585,0,0,1,0,treatment,KB,1,Yes,No,No,No,No,No,Yes,4,120,15,15,1,Yes,Yes,2,1,0,,1,1,1,1,1,1,0,1,22,675,128,74,57.8125,High,Yes,0,2,4,4,1,4,4,3.166666667,3,3,3,3,3,3,3,1,2,4,4,1,4,4,2,1,1,2.4,5,18,13,80,13,15,0.5,12,0.5,10,11,13
44002,2.405,0,0,1,0,treatment,KB,1,,,,,,,,4,120,9,9,0,Yes,Yes,12,3,1,50,0,0,1,0,1,1,1,1,15,675,128,74,57.8125,High,Yes,0,2,4,4,1,4,4,3.166666667,3,3,3,3,3,3,3,1,2,4,4,1,4,4,2,1,1,2.4,5,18,13,80,13,15,0.5,12,0.5,10,11,13
45001,2.96,0,0,1,0,treatment,KB,5,Yes,Yes,No,No,No,No,No,6,90,67,13,1,Yes,Yes,3,1,1,80,1,1,1,0,1,1,1,1,24,6708,679,183,26.95139912,Moderate-High,Yes,1,4,3,4,4,4,4,3.833333333,4,4,3,4,4,4,3.833333333,2,2,1,3,1,1,2,1,1,1,1.5,2,2.5,3,74,3,2.5,1,2,0.5,2,1,3
45002,3.8,0,0,0.5,0.5,treatment,KB,2,No,No,No,No,No,No,Yes,6,180,35,18,1,Yes,Yes,0,2,1,25,0,0,1,0,1,1,0,1,16,6708,679,183,26.95139912,Moderate-High,Yes,1,4,3,4,4,4,4,3.833333333,4,4,3,4,4,4,3.833333333,2,2,1,3,1,1,2,1,1,1,1.5,2,2.5,3,74,3,2.5,1,2,0.5,2,1,3
46001,3.38,0,0,1,0,treatment,KB,1,,,,,,,,5,150,16,16,1,Yes,Yes,2,1,1,200,0,1,1,0,1,1,0,1,22,829,367,200,54.49591281,High,Yes,3,2,3,4,4,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,1,3,1,1,1,1,1.6,4,4,4,70,4,4,1.5,4.5,0.5,0.5,3,4
46002,3.56,0,0,1,0,treatment,KB,1,,,,,,,,5,120,12,12,0,Yes,Yes,0,1,1,20,1,0,1,0,1,1,0,1,19,829,367,200,54.49591281,High,Yes,3,2,3,4,4,4,4,3.5,3,3,1,3,3,3,2.666666667,1,2,1,4,1,3,1,1,1,1,1.6,4,4,4,70,4,4,1.5,4.5,0.5,0.5,3,4
47101,1.95,0,0,1,0,control,TK,2,No,Yes,No,No,No,No,No,6,120,32,16,0,Yes,Yes,1,1,3,,2,2,2,2,1,0,0,1,19,2679,647,,,,Yes,1,1,4,4,1,4,4,3,3,3,3,3,3,3,3,1,2,4,4,1,4,4,1,1,1,2.3,3,5,5,75,5,5,0.300000012,6,0.300000012,2,6,6
48101,2.955,0,0,0.67,0.33,control,TK,3,Yes,Yes,No,No,No,No,Yes,6,180,16,5,0,Yes,Yes,0,1,1,5,0,2,1,1,0,0,0,1,15,1322,426,144,33.8028169,Moderate-High,Yes,0,4,3,4,4,3,4,3.666666667,3,3,3,3,3,3,3,1,4,4,4,1,1,3,1,1,1,2.1,2.5,2.5,17.5,67,18,2.5,3,18,0.150000006,2.700000048,3.099999905,20
48401,1.06,0,0,0.67,0.33,control,TPQ,3,No,Yes,No,No,No,No,No,4,120,7,2,0,No,No,0,1,1,15,0,0,0,0,0,0,0,0,1,1322,426,144,33.8028169,Moderate-High,Yes,0,4,3,4,4,3,4,3.666666667,3,3,3,3,3,3,3,1,4,4,4,1,1,3,1,1,1,2.1,2.5,2.5,17.5,67,18,2.5,3,18,0.150000006,2.700000048,3.099999905,20
49001,2.655,0,0,1,0,treatment,KB,1,Yes,Yes,No,No,No,No,No,3,120,17,17,1,No,Yes,10,1,1,13,0,1,1,1,1,1,0,1,25,799,190,82,43.15789474,High,Yes,2,1,4,4,1,4,4,3,4,3,1,3,3,3,2.833333333,1,2,4,4,2,4,4,1,1,1,2.4,2,20,10,60,10,10,1,10,0.5,2,10,10
